MECID,CommitteeName,Comm_Type,Comm_Status,Candidate FName,Candidate MName,Candidate LName,ElectionDate,Office Sought
A091044,David J Cerven For City Council,Candidate,Terminated,David,J,Cerven,4/7/2009,Council Person
A091045,Missourians For Dokes,Candidate,Terminated,Eugene ,,Dokes,4/7/2009,Boardmember
A091046,Citizens Against Forever Tax - Debt Service,Campaign,Terminated,,,,,
A091047,Citizens for Crime Reduction,Campaign,Terminated,,,,,
A091048,Committee To Save Our System,Campaign,Terminated,,,,,
A091049,Citizens In Support Of E-911,Campaign,Terminated,,,,,
A091050,Friends Of Pete Frazier,Candidate,Terminated,"Eugene ""Pete""",,Frazier III,11/2/2010,Auditor
A091051,Coalition To Protect Our Property,Campaign,Terminated,,,,,
A091052,Friends Of Melody A Folsom,Candidate,Terminated,Melody,A,Folsom,8/7/2012,Public Administrator
A091052,Friends Of Melody A Folsom,Candidate,Terminated,Melody,A,Folsom,11/6/2012,Public Administrator
A091052,Friends Of Melody A Folsom,Candidate,Terminated,Melody,A,Folsom,8/2/2016,Public Administrator
A091052,Friends Of Melody A Folsom,Candidate,Terminated,Melody,A,Folsom,11/8/2016,Public Administrator
A091053,Advance St. Louis,Campaign,Terminated,,,,,
A091054,Our Children Our Future Our Decision,Campaign,Terminated,,,,,
A091055,Commitment To Kids And Community,Campaign,Terminated,,,,,
A091056,Friends Of Nick Guccione,Candidate,Terminated,Nick,,Guccione,4/6/2010,Mayor
A091057,Wade For Mayor,Candidate,Terminated,Jerry Lee,,Wade,4/6/2010,Mayor
A091058,Committee For Our Kids and Our Community,Campaign,Terminated,,,,,
A091059,County Citizens For Cleaner Air,Campaign,Terminated,,,,,
A091061,Citizens To Elect Bill Schuette,Candidate,Terminated,Bill ,,Schuette,4/6/2010,Mayor
A091062,Dusenbery For Commissioner,Candidate,Terminated,Kathryn ,A,Dusenbery,8/7/2012,Associate Commissioner
A091063,Citizens Against Proposition N,Campaign,Terminated,,,,,
A091064,Committee To Elect Bryan Cox,Candidate,Terminated,Bryan,,Cox,8/3/2010,Associate Commissioner
A091065,Citizens For Sarah Read 4Th Ward,Candidate,Terminated,Sarah ,J,Read,4/6/2010,Council Person
A091066,Citizens Dedicated To Kids,Campaign,Terminated,,,,,
A091067,Dennis Wood For Stone County Presiding Commissioner,Candidate,Terminated,Dennis ,,Wood,8/3/2010,Presiding Commissioner
A091067,Dennis Wood For Stone County Presiding Commissioner,Candidate,Terminated,Dennis ,,Wood,11/2/2010,Presiding Commissioner
A091068,Citizens To Elect Joyce Starr,Candidate,Terminated,Joyce,A,Starr,4/7/2009,Council Person
A091069,Committee To Elect Arthur Merdinian,Candidate,Terminated,Arthur ,,Merdinian,4/6/2010,Council Person
A091070,Committee To Elect Marilyn Simmons,Candidate,Terminated,Marilyn ,,Simmons,4/6/2010,Alderperson
A091071,Skala For Council,Candidate,Terminated,Karl,,Skala,4/6/2010,Council Person
A091072,Steve Sewell For Southside City Council,Candidate,Terminated,Steve,,Sewell,4/6/2010,Council Person
A091073,Committee To Elect Lou Lapaglia,Candidate,Terminated,Lou,,Lapaglia,8/3/2010,Associate Commissioner
A091073,Committee To Elect Lou Lapaglia,Candidate,Terminated,Lou,,Lapaglia,11/2/2010,Associate Commissioner
A091074,Friends Of Terry Booker,Candidate,Terminated,Terry ,,Booker,8/3/2010,Circuit Clerk
A091075,Citizens To Elect Brian Whitley,Candidate,Terminated,Brian,,Whitley,4/6/2010,Council Person
A091075,Citizens To Elect Brian Whitley,Candidate,Terminated,Brian,,Whitley,4/8/2014,Council Person
A091076,Todd Ralls For Mexico School Board Committee,Candidate,Terminated,Todd,,Ralls,4/6/2010,Boardmember
A091077,Investing In Education Otc In Hollister,Campaign,Terminated,,,,,
A101000,Citizens For Al Gerber,Candidate,Terminated,Eric ,"Alan ""Al""",Gerber,4/6/2010,Alderperson
A101000,Citizens For Al Gerber,Candidate,Terminated,Eric ,"Alan ""Al""",Gerber,4/3/2012,Alderperson
A101001,Friends Of Paul Love,Candidate,Terminated,Paul ,,Love,4/6/2010,Mayor
A101002,Citizens For Jayne Langsam,Candidate,Terminated,Jayne,,Langsam,4/6/2010,Alderperson
A101003,Committee To Elect C Johnston,Candidate,Terminated,Chuck ,,Johnston,4/5/2011,Alderperson
A101004,Terry Daniel,Candidate,Terminated,Terry ,,Daniel,4/6/2010,Boardmember
A101005,Citizens To Elect D Scott Connor,Candidate,Terminated,D Scott,,Connor,4/6/2010,Boardmember
A101006,Committee To Elect Mike Schneider,Candidate,Terminated,Mike,,Schneider,4/6/2010,Mayor
A101006,Committee To Elect Mike Schneider,Candidate,Terminated,Mike,,Schneider,4/3/2012,Mayor
A101006,Committee To Elect Mike Schneider,Candidate,Terminated,Mike,,Schneider,4/8/2014,Mayor
A101006,Committee To Elect Mike Schneider,Candidate,Terminated,Mike,,Schneider,4/3/2018,Mayor
A101007,Sessions For School Board,Candidate,Terminated,Jonathan,,Sessions,4/6/2010,Boardmember
A101007,Sessions For School Board,Candidate,Terminated,Jonathan,,Sessions,4/5/2011,Boardmember
A101007,Sessions For School Board,Candidate,Terminated,Jonathan,,Sessions,4/8/2014,Boardmember
A101007,Sessions For School Board,Candidate,Terminated,Jonathan,,Sessions,4/4/2017,Boardmember
A101007,Sessions For School Board,Candidate,Terminated,Jonathan,,Sessions,6/2/2020,Boardmember
A101008,Citizens To Elect Eddie Campbell,Candidate,Terminated,Eddie,,Campbell,4/6/2010,Alderperson
A101009,Committee To Elect Bud Jones Presiding Commissioner,Candidate,Terminated,Bud,,Jones,8/3/2010,Presiding Commissioner
A101009,Committee To Elect Bud Jones Presiding Commissioner,Candidate,Terminated,Bud,,Jones,11/2/2010,Presiding Commissioner
A101010,Committee To Elect Phil Peters,Candidate,Terminated,Philip Jr,G ,Peters ,4/6/2010,Alderperson
A101011,Committee To Elect Tina Odo,Candidate,Terminated,Tina,,Odo,4/6/2010,Boardmember
A101012,Amy Russell For Circuit Clerk Committee,Candidate,Terminated,Amy,,Robinette-Russell,8/3/2010,Circuit Clerk
A101013,Kansas Citians For Crispin Rea,Candidate,Terminated,Crispin,,Rea,4/6/2010,Boardmember
A101014,Citizens To Elect Buckley For Mayor,Candidate,Terminated,Felicity,,Buckley,4/6/2010,Mayor
A101015,Committee To Elect Bob Tullock,Debt Service,Terminated,Bob,,Tullock,4/6/2010,Mayor
A101016,The Committee To Elect Mario Marberry,Candidate,Terminated,Mario,L,Marberry,4/6/2010,Council Person
A101017,Committee To Elect Dick Sipe,Candidate,Terminated,"Richard ""Dick""",,Sipe,3/2/2010,Mayor
A101018,Falkner 4 Mayor,Candidate,Terminated,William (Bill),N,Falkner,3/2/2010,Mayor
A101019,The Committee To Elect Jack Ginnever,Candidate,Terminated,Jack,,Ginnever,4/6/2010,Mayor
A101020,Keep Columbia Safe,Campaign,Terminated,,,,,
A101021,Committee To Re-Elect Tom Neer Sheriff,Candidate,Terminated,Thomas ,W ,Neer,8/5/2014,Sheriff
A101022,Citizens For Alonzo,Candidate,Terminated,Juan,I,Alonzo,4/2/2013,Mayor
A101023,Jill Esry For School Board,Candidate,Terminated,Jill,W,Esry,4/6/2010,Council Person
A101024,Our Hospital Matters Committee,Campaign,Terminated,,,,,
A101025,Friends Of Kathy Hofmann,Candidate,Terminated,Kathryn,J,Hofmann,4/6/2010,Council Person
A101026,Citizens To Elect Michael Todd,Candidate,Terminated,Michael,,Todd,4/6/2010,Mayor
A101026,Citizens To Elect Michael Todd,Candidate,Terminated,Michael,,Todd,4/3/2012,Mayor
A101026,Citizens To Elect Michael Todd,Candidate,Terminated,Michael,,Todd,4/8/2014,Mayor
A101026,Citizens To Elect Michael Todd,Candidate,Terminated,Michael,,Todd,4/5/2016,Mayor
A101026,Citizens To Elect Michael Todd,Candidate,Terminated,Michael,,Todd,4/3/2018,Mayor
A101026,Citizens To Elect Michael Todd,Candidate,Terminated,Michael,,Todd,6/2/2020,Mayor
A101027,Maddy For Joplin City Council,Candidate,Terminated,Jonathan ,Kelly,Maddy,4/6/2010,Council Person
A101028,Tom Peters For All Children,Candidate,Terminated,Tom ,,Peters,4/6/2010,Boardmember
A101029,Dana M Altieri For Judge,Candidate,Active,Dana,M,Altieri,4/6/2010,Municipal Judge
A101029,Dana M Altieri For Judge,Candidate,Active,Dana,M,Altieri,4/8/2014,Municipal Judge
A101029,Dana M Altieri For Judge,Candidate,Active,Dana,M,Altieri,4/3/2018,Municipal Judge
A101029,Dana M Altieri For Judge,Candidate,Active,Dana,M,Altieri,4/5/2022,Municipal Judge
A101030,Chappelle-Nadal For Responsible Government,Candidate,Terminated,Maria ,,Chappelle-Nadal,4/6/2010,Boardmember
A101030,Chappelle-Nadal For Responsible Government,Candidate,Terminated,Maria ,,Chappelle-Nadal,4/2/2013,Boardmember
A101030,Chappelle-Nadal For Responsible Government,Candidate,Terminated,Maria ,,Chappelle-Nadal,4/5/2016,Boardmember
A101031,Camerlinck For Kids,Candidate,Terminated,David,J,Camerlinck,4/6/2010,Alderperson
A101032,Committee To Re-Elect Audrey Hollis,Candidate,Terminated,Audrey ,,Hollis,4/6/2010,Alderperson
A101033,Porter For School Board,Candidate,Terminated,Craig,,Porter,4/6/2010,Boardmember
A101034,Wood For Commissioner,Candidate,Terminated,Bondi,,Wood,8/3/2010,Associate Commissioner
A101035,Adkins For Liberty Schools,Candidate,Terminated,James ,,Adkins,4/6/2010,Council Person
A101036,Bauer For Board Of Education,Candidate,Terminated,William,,Bauer,4/6/2010,Council Person
A101037,Cliff Tucker For Kids,Candidate,Terminated,Cliff,,Tucker,4/6/2010,Boardmember
A101038,Sandy Lucy For Mayor,Candidate,Active,Sandy,B.,Lucy,4/8/2014,Mayor
A101038,Sandy Lucy For Mayor,Candidate,Active,Sandy,B.,Lucy,4/3/2018,Mayor
A101039,Pride In The Doniphan R1 School Committee,Campaign,Terminated,,,,,
A101040,Citizens For Chris Lievsay,Candidate,Terminated,Christopher ,Aaron,Lievsay,4/6/2010,Council Person
A101040,Citizens For Chris Lievsay,Candidate,Terminated,Christopher ,Aaron,Lievsay,4/2/2013,Council Person
A101041,Committee To Elect Darrell Coulter,Candidate,Terminated,Darrell,R,Coulter,4/6/2010,Boardmember
A101042,Friends Of Greg Mueller,Candidate,Terminated,Gregory,T,Mueller,4/6/2010,Council Person
A101043,Supporters Of Karen Vennard,Candidate,Active,Karen,,Vennard,4/3/2012,Alderperson
A101043,Supporters Of Karen Vennard,Candidate,Active,Karen,,Vennard,4/8/2014,Alderperson
A101043,Supporters Of Karen Vennard,Candidate,Active,Karen,,Vennard,4/5/2016,Alderperson
A101043,Supporters Of Karen Vennard,Candidate,Active,Karen,,Vennard,4/3/2018,Alderperson
A101043,Supporters Of Karen Vennard,Candidate,Active,Karen,,Vennard,6/2/2020,Alderperson
A101044,Committee To Elect Nancy Fisher,Candidate,Terminated,Nancy,,Fisher,8/3/2010,Circuit Clerk
A101044,Committee To Elect Nancy Fisher,Candidate,Terminated,Nancy,,Fisher,11/2/2010,Circuit Clerk
A101045,Hunt For Webster Council,Candidate,Terminated,Toni,,Joyce-Hunt,4/6/2010,Council Person
A101046,Committee To Elect Chris Williams,Candidate,Terminated,Chris,,Williams,4/6/2010,Council Person
A101047,Committee To Elect Christopher R Murray,Candidate,Terminated,Christopher,R,Murray,4/6/2010,Boardmember
A101048,Committee For Excellent Schools,Campaign,Terminated,,,,,
A101049,Committee To Elect Nancy Eyerly,Candidate,Terminated,Nancy,,Eyerly,4/6/2010,Boardmember
A101050,Committee To Elect Paul Hamill,Candidate,Terminated,Paul,C,Hamill,4/6/2010,Alderperson
A101051,Citizens To Elect Reggie Jones,Candidate,Terminated,Reggie,,Jones,4/6/2010,Boardmember
A101052,Committee To Elect Andrew Mead,Candidate,Terminated,Andrew ,,Mead,8/3/2010,Prosecuting Attorney
A101053,Committee To Elect Jt Brown,Candidate,Terminated,James,T,Brown,4/6/2010,Boardmember
A101054,2010 Uc Miracles Campaign For Rod Jennings,Candidate,Terminated,Rod ,,Jennings,4/6/2010,Boardmember
A101055,Committee To Reelect Susan Buse,Candidate,Terminated,Susan,,Buse,4/6/2010,Boardmember
A101056,Committee To Elect Barnett-Stillings For Circuit Clerk,Candidate,Terminated,Barbara (Barbie),D,Barnett-Stillings,8/3/2010,Circuit Clerk
A101056,Committee To Elect Barnett-Stillings For Circuit Clerk,Candidate,Terminated,Barbara (Barbie),D,Barnett-Stillings,11/2/2010,Circuit Clerk
A101057,Julie Thacher For Mayor,Candidate,Terminated,Julie,,Thacher,4/6/2010,Mayor
A101058,Committee To Re-Elect Jan Jones Recorder Of Deeds,Candidate,Terminated,Jan,,Jones,8/3/2010,Recorder of Deeds
A101058,Committee To Re-Elect Jan Jones Recorder Of Deeds,Candidate,Terminated,Jan,,Jones,11/2/2010,Recorder of Deeds
A101059,Friends Of Mike Esterl,Candidate,Terminated,Mike,,Esterl,4/6/2010,Alderperson
A101060,The Committee To Elect Emily Grisham To City Council,Candidate,Terminated,Emily,,Grisham,4/6/2010,Council Person
A101061,Citizens To Elect Ed Purvis Mayor,Candidate,Terminated,Ed,,Purvis,4/6/2010,Mayor
A101062,Committee To Elect Gary Miller,Candidate,Terminated,Gary ,,Miller,4/6/2010,Boardmember
A101063,Citizens For Ed Zimmerman,Candidate,Terminated,Ed,,Zimmerman,4/6/2010,Council Person
A101064,Citizens For Dixie Youngers For School Board,Candidate,Terminated,Dixie ,,Youngers,4/6/2010,Boardmember
A101065,Citizens For Bob Mcdavid,Candidate,Terminated,Bob,,McDavid,4/6/2010,Mayor
A101066,Citizens For Sheila L Palmer,Candidate,Terminated,Sheila,L,Palmer,8/3/2010,Collector of Revenue
A101066,Citizens For Sheila L Palmer,Candidate,Terminated,Sheila,L,Palmer,11/2/2010,Collector of Revenue
A101067,Committee To Elect Pete Nicholas,Candidate,Terminated,Pete,,Nicholas,4/6/2010,Boardmember
A101068,Committee To Elect Karlton Thornton,Candidate,Terminated,Karlton,,Thornton,4/6/2010,Boardmember
A101068,Committee To Elect Karlton Thornton,Candidate,Terminated,Karlton,,Thornton,4/2/2013,Boardmember
A101069,Friends Of Tony Lamantia,Candidate,Terminated,Tony,,Lamantia,4/6/2010,Boardmember
A101070,Committee To Elect Mike Johns,Candidate,Terminated,Robert,Michael,Johns,4/6/2010,Boardmember
A101071,Committee To Elect Dawn Brokaw,Candidate,Terminated,Dawn,,Brokaw,4/6/2010,Alderperson
A101072,Rawlins For School Board,Candidate,Terminated,Richard,,Rawlins,4/6/2010,Boardmember
A101073,Barham For Council,Candidate,Terminated,Jerry ,W,Barham,4/6/2010,Council Person
A101073,Barham For Council,Candidate,Terminated,Jerry ,W,Barham,4/3/2012,Council Person
A101074,The Committee To Elect Steven S Loher,Candidate,Terminated,Steven,S,Loher,4/6/2010,Boardmember
A101075,Jackson For Overland,Candidate,Terminated,Margaret,,Jackson,4/6/2010,Mayor
A101076,Bowerman For Council,Candidate,Terminated,Grant,,Bowerman,4/6/2010,Council Person
A101077,Friends & Supporters Of Lisa Ridolfi,Candidate,Active,Lisa,A,Ridolfi,4/6/2010,Council Person
A101077,Friends & Supporters Of Lisa Ridolfi,Candidate,Active,Lisa,A,Ridolfi,4/3/2012,Council Person
A101077,Friends & Supporters Of Lisa Ridolfi,Candidate,Active,Lisa,A,Ridolfi,4/8/2014,Council Person
A101077,Friends & Supporters Of Lisa Ridolfi,Candidate,Active,Lisa,A,Ridolfi,4/5/2016,Council Person
A101077,Friends & Supporters Of Lisa Ridolfi,Candidate,Active,Lisa,A,Ridolfi,4/3/2018,Council Person
A101077,Friends & Supporters Of Lisa Ridolfi,Candidate,Active,Lisa,A,Ridolfi,6/2/2020,Council Person
A101078,Friends Of Goedeke For School Board,Candidate,Terminated,Nancy,,Goedeke,4/6/2010,Boardmember
A101079,Marshall Wilson For Prosecutor Committee,Candidate,Terminated,Marshall,,Wilson,8/3/2010,Prosecuting Attorney
A101079,Marshall Wilson For Prosecutor Committee,Candidate,Terminated,Marshall,,Wilson,11/2/2010,Prosecuting Attorney
A101080,Peterson For Kcmsdb,Candidate,Terminated,Robert,E,Peterson,4/6/2010,Boardmember
A101081,Committee To Elect Nathan Grellner Mayor,Candidate,Terminated,Nathan ,,Grellner,4/6/2010,Mayor
A101082,Committee to Elect Ron Cleek,Candidate,Terminated,Ron,,Cleek,8/3/2010,Prosecuting Attorney
A101083,Friends To Elect Stacy Washington For Ladue Schools,Candidate,Terminated,Stacy,,Washington,4/6/2010,Boardmember
A101084,Boyer For School Board,Candidate,Terminated,Darrell ,,Boyer,4/6/2010,Alderperson
A101085,Jeff Kopolow For Ladue School Board,Candidate,Terminated,Jeffrey,,Kopolow,4/6/2010,Boardmember
A101086,Kyleen Carroll For School Board,Candidate,Terminated,Kyleen,,Carroll,4/6/2010,Boardmember
A101086,Kyleen Carroll For School Board,Candidate,Terminated,Kyleen,,Carroll,4/8/2014,Boardmember
A101087,Committee To Re-Elect Jackie Mckinsey To Otc,Candidate,Terminated,Jackie,,McKinsey,4/6/2010,Boardmember
A101088,Committee To Elect Sheila Williams,Candidate,Terminated,Sheila,,Williams,4/6/2010,Boardmember
A101089,Committee To Elect Mark Cross For Troy Mayor,Candidate,Terminated,Mark,,Cross,4/6/2010,Mayor
A101090,Committee To Elect Patricia A (Pat) Jones,Candidate,Terminated,Patricia,,Jones,4/6/2010,Council Person
A101091,Citizens For Toenjes,Candidate,Terminated,Joseph,L,Toenjes,4/6/2010,Council Person
A101092,Brian Boyd Fourth Ward City Council,Candidate,Terminated,Brian,,Boyd,4/6/2010,Council Person
A101093,Truth And Justice In Government For Todd Gill,Candidate,Terminated,Todd,A,Gill,4/6/2010,Council Person
A101094,Committee To Elect Stephen Galliher For Council,Candidate,Terminated,Stephen,,Galliher,4/6/2010,Council Person
A101095,Mark O'renick For School Board,Candidate,Terminated,Mark,A,O'renick,4/6/2010,Boardmember
A101096,Paid For By The Committee To Re-Elect Bobbie Saulsberry,Candidate,Terminated,Bobbie,,Saulsberry,4/6/2010,Boardmember
A101097,Committee To Elect Sandra B Morrow,Candidate,Terminated,Sandra,B,Morrow,8/3/2010,Treasurer
A101097,Committee To Elect Sandra B Morrow,Candidate,Terminated,Sandra,B,Morrow,11/2/2010,Treasurer
A101098,"Committee To Re-Elect Lawrence ""Butch"" Besmer Mayor",Candidate,Terminated,Lawrence,P,Besmer,4/6/2010,Mayor
A101099,Friends Of Cliff Lane,Candidate,Terminated,Cliff,,Lane,8/3/2010,Council Person
A101099,Friends Of Cliff Lane,Candidate,Terminated,Cliff,,Lane,11/2/2010,Council Person
A101100,Committee To Elect Dustin Cauble,Candidate,Terminated,Dustin ,,Cauble,4/6/2010,Alderperson
A101101,Hill For Council Campaign Committee,Candidate,Terminated,Frederick,W,Hill,4/6/2010,Council Person
A101102,Committee To Elect Chuck Baker,Candidate,Terminated,Charles,A,Baker,8/3/2010,Collector of Revenue
A101103,Mike Copeland For Nixa School Board,Candidate,Terminated,Mike ,,Copeland,4/6/2010,Council Person
A101103,Mike Copeland For Nixa School Board,Candidate,Terminated,Mike ,,Copeland,4/2/2013,Boardmember
A101104,Citizens For Mohesky,Candidate,Terminated,Jeff,,Mohesky,4/6/2010,Mayor
A101105,Sayre For Mayor,Candidate,Terminated,Diane,,Sayre,4/6/2010,Mayor
A101106,Committee To Re-Elect Shirley Johnson,Candidate,Terminated,Shirley,,Johnson,4/6/2010,Alderperson
A101107,Strate For Rockwood Kids,Candidate,Terminated,Janet ,,Strate,4/6/2010,Council Person
A101109,Elect Glen Nelson,Candidate,Terminated,Glen,,Nelson,8/3/2010,Presiding Commissioner
A101110,Committee To Elect Joseph Jackson To Kcmsd Sub-District #4,Candidate,Terminated,Joseph,,Jackson,4/8/2014,Boardmember
A101111,Friends To Elect Wheeling,Candidate,Terminated,Kathy,,Wheeling,4/6/2010,Mayor
A101112,Committee To Elect Joshua Ly,Candidate,Terminated,Joshua,,Ly,8/3/2010,Council Person
A101113,Sam Clifton For Mayor,Candidate,Terminated,Sam ,,Clifton,4/6/2010,Mayor
A101113,Sam Clifton For Mayor,Candidate,Terminated,Sam ,,Clifton,4/5/2011,Mayor
A101114,Committee To Elect Harold Hoflander,Candidate,Terminated,Harold,,Hoflander,8/3/2010,Associate Commissioner
A101114,Committee To Elect Harold Hoflander,Candidate,Terminated,Harold,,Hoflander,11/2/2010,Associate Commissioner
A101115,Bill Nolan For Mayor Committee,Candidate,Terminated,William,J ,Nolan ,4/6/2010,Mayor
A101117,Maria Perron For Alderman,Candidate,Terminated,Maria,,Perron,4/6/2010,Alderperson
A101118,Whitt For Columbia School Board,Candidate,Terminated,James,A,Whitt,4/6/2010,Boardmember
A101119,Buchanan For The Board Committee,Candidate,Terminated,Sharon ,,Buchanan,4/6/2010,Boardmember
A101120,Committee For Education And Development First - James Linderer,Candidate,Terminated,James ,S ,Linderer,4/6/2010,Boardmember
A101121,Elect Rick Schemel Presiding Commissioner,Candidate,Terminated,Richard,A,Schemel,8/3/2010,Associate Commissioner
A101122,Putting Kids First,Campaign,Terminated,,,,,
A101124,Citizens For Mrh,Campaign,Terminated,,,,,
A101125,Lewis For Judge,Candidate,Terminated,William,A,Lewis Jr,4/6/2010,Municipal Judge
A101126,Committee to Elect Cash Circuit Clerk,Candidate,Terminated,Michael,,Cash,8/3/2010,Circuit Clerk
A101127,Committee To Elect Shelia Pargo,Candidate,Terminated,Shelia,,Pargo,4/6/2010,Boardmember
A101128,Buford For Columbia,Candidate,Terminated,Rick,,Buford,4/6/2010,Council Person
A101129,Garrett Mees For Hancock Place,Candidate,Terminated,Garrett,,Mees,4/6/2010,Boardmember
