purpose,amount
recognition & incentives,2679.43
license fees,2650.0
events,2643.87
trump give-aways,2642.0899999999997
event catering,2633.69
accountant fees,2625.0
aviary on the fly - event expense,2618.4
fundraising event,2616.86
room rental,2615.77
t-shirt printing,2600.0
stamps,2597.0
multiple orders for items to exchange for donation,2564.12
yard signs for council race,2560.0
legal counsel,2545.38
event,2534.44
newspaper advertising,2510.15
professional services,2505.25
voter lists,2501.88
door to door literature drops ,2500.0
lincoln days sponsorship,2500.0
inv genelec-general election svcs,2500.0
voter voice system,2500.0
campaign coordination,2500.0
contirbution ,2500.0
digital advertising - wright for missouri,2500.0
media,2500.0
digital and field work,2500.0
treasurer,2500.0
contributions ,2500.0
candidate contribution,2500.0
senate caucus retreat - speaker fees,2500.0
event mailing,2472.78
t-shirts for fundraiser,2462.25
reimburse accounting fees,2450.0
staff benefits,2448.0
literacture,2400.11
supplies - door hanger bags,2395.43
internship,2365.0
printing - leadership awards dinner,2358.1
bold pac - political action committee,2350.0
"graphic design for mailers, signs and social media",2325.0
event space and food,2316.4700000000003
travel expenses for legislative rep,2309.67
phone/internet,2295.41
mail piece,2289.0
signs for trump,2267.9
items for auction,2263.29
promotional items,2256.03
fundraising database,2250.0
remaining balance of 800 yard signs,2250.0
writing,2231.25
office payrol and misc,2223.0
"mail, printed and sent out",2200.17
campaign work,2200.0
catering for lincoln day dinner,2200.0
billboard rental,2200.0
back-the-blue (food),2173.15
printing stationary,2168.95
"reimbursement for large and small signs, hats, etc",2147.7799999999997
hall rental,2136.91
opening cash,2130.0
flyers,2123.6400000000003
printing service,2104.5299999999997
direct mailer,2101.09
platform hosting,2095.32
meeting meal function,2078.0699999999997
signs biden,2073.3199999999997
face maks,2055.83
research & postage,2038.05
reimb. lost wages,2028.52
telephone expense,2000.0
january admin retainer,2000.0
compliance preperation ,2000.0
setup fee,2000.0
scholarship,2000.0
30 under 30 event sponsorship,2000.0
payment,2000.0
audio production,1993.0
office supplies,1954.33
webpage maintenance,1949.95
fundraiser bowling alley charges,1942.33
liquor,1938.09
reimbursement - usps for postage,1925.0
meals/entertainment,1902.29
shirts for golf,1891.28
meeting audio/video,1890.74
photography,1876.42
annual audit ,1840.0
prep of the 2019 tax return inv 6078137,1830.0
reimbursement: travel and office supplies,1823.89
office expense,1809.3
bank fees,1806.63
letterhead and envelopes,1803.5
meet and greet,1800.0
digital billboard,1800.0
rent 3 billboards,1800.0
license fee,1800.0
phone/internet/cable,1784.7299999999998
meals for bjc,1783.83
fundraising items,1773.0
phone bill,1752.9300000000003
event hosting and food,1747.38
just mercy screening,1740.0
september legal services,1727.14
ad book printing - leadership awards dinner,1695.0
january legal services,1680.0
pay vendor,1679.5
ad listing endorsement,1674.0
database software,1666.0
attorneys fees,1663.0
web services,1660.42
signs and decals,1647.44
meeting expenses,1627.51
gotv texting,1625.0
award dinner,1610.68
"reimb: software, voter lists, and office supplies",1609.34
event food,1600.0
administrative fees,1600.0
setup/aug/sept/oct admin fee,1600.0
ballots,1580.03
legislative function ,1568.18
"postage, printing",1546.67
senate retirement dinner,1540.75
meals for rally,1540.0
credit card processing fee,1522.7499999999998
cocktail reception ,1506.0
creative production,1500.0
compliance service fee,1500.0
sheriff's fund,1500.0
compliance management,1500.0
public relations consulting ,1500.0
compliance fees,1500.0
radio time,1500.0
event sponsorship,1500.0
mec compliance,1500.0
mail design,1500.0
canvassing,1500.0
consulting fee,1500.0
billboard sign,1500.0
radio advertising,1500.0
hotel/conference deposit,1500.0
scholarship recipient,1500.0
february legal services,1480.0
door hangers,1470.0
reimburse for gilardis for event catering,1462.31
reimb for hickory hills country club,1459.2
payment for stubhub charge for parking passes,1454.66
campaign contribution,1450.0
phone bank minutes ,1450.0
signs/stickers,1428.57
venue rental,1415.0
setup fee & sept and oct admin fee,1400.0
transfer funds from one pac to another,1400.0
rent head quarters,1400.0
cash for winners at agcmo pac golf outing,1400.0
member appreciation event,1400.0
hall rental and food for event,1398.78
lodging,1397.4
t-shirts - trump 2020,1393.61
late reporting fine,1389.24
merchant fee,1368.0400000000002
tax payment,1365.0
reimbursement,1361.96
printed materials,1361.25
preparation of tax forms,1350.0
breakfast meeting with pac contributors,1339.99
rent & utilities,1338.44
reimbursement-lunch,1332.26
prints for auction,1321.63
bandanas for fundraiser,1315.5
pay vendorn (jewel event center),1300.0
lincoln day program booklets,1300.0
august legal services,1300.0
paper supply,1287.0900000000001
auction item,1286.34
reimbursement - brick river cider - space rental,1273.27
consolidation mailers,1268.34
see addendum statement,1255.6100000000001
shirts,1250.68
accounting fees & reim. exp,1246.8300000000002
june legal services,1240.0
reimb lost wages,1238.76
laptop computer,1227.32
training,1221.36
"phone, equipment & accessories",1218.08
tee shirts for fundraiser,1217.55
print and digial ads,1217.0
christmas party,1210.04
headquarters signage,1206.79
travel reimbursements,1205.73
december & january admin fees,1200.0
professional fees,1200.0
4' x 8' trump signs,1200.0
jan/feb admin fee,1200.0
robocalls,1200.0
annual fees,1200.0
oct/nov admin fee,1200.0
rent 1 billboard,1200.0
federal income tax,1199.0
internet ads,1196.4
tool box raffle,1189.99
fundraiser meal expense,1183.0
item purchased for auction,1173.15
digital and hosting fees,1172.16
2019 tax filings,1167.25
room rental fee - laura kelly fundraiser,1160.0
printing - sample ballots,1159.26
500 yard signs,1155.19
director of organizing,1153.85
trivia lady,1150.0
printed election materials,1144.99
airfare,1141.09
face masks for fundraiser,1138.43
masks for fundraiser,1138.12
travel expenses,1136.3400000000001
advertisement signage,1129.69
organizing and fundraising,1125.0
books for event,1115.75
direct mailer  for canidate trish gumby,1114.35
give away item for golfers,1113.07
website,1108.0
late fee fine,1100.0
biden yard signs ,1100.0
mask supplies,1097.91
golf classic,1097.0
#77286 #77589 #77863,1090.69
rent-office,1083.0
filing pac reports,1075.0
mask material,1074.1
reimbursement - facebook,1072.62
mouse races,1071.94
tax services,1050.0
food for holiday party,1050.0
audit ,1050.0
reimbursed expenses: travel,1042.16
late dues,1041.93
late fee--large contribution report,1040.0
april legal services,1040.0
buy t-shirts,1038.76
reimbursement - november (details in addendum),1035.13
reimb: software office sup travel util,1026.25
processing fee,1012.1999999999999
gotv auto dials,1008.84
signage,1005.42
oct rent for hq,1000.0
meals for christian hospital ne,1000.0
pac management ,1000.0
march admin retainer,1000.0
pac contribution,1000.0
honoring gp james t. callahan,1000.0
national child safety,1000.0
ks & mo primary election svcs ,1000.0
nov/dec admin fee,1000.0
june admin retainer,1000.0
may admin retainer,1000.0
january & february admin fees,1000.0
july admin retainer,1000.0
october admin retainer,1000.0
membership,1000.0
pac setup fee,1000.0
donation - yes community project,1000.0
"reimbursement for lawn signs, hats, flags",1000.0
february admin retainer,1000.0
december admin retainer,1000.0
april admin retainer,1000.0
september admin retainer,1000.0
deposit on venue use,1000.0
sponsor-public officials reception,1000.0
seed money,1000.0
biden/harris yard signs,1000.0
sept/oct admin fee,1000.0
facebook ads,1000.0
campaign contribution ,1000.0
campaign donation,1000.0
christmas party deposit,1000.0
contrbution ,1000.0
2019 overhead fee,1000.0
contiribution made,1000.0
research (internal use only),1000.0
signs ,985.28
reimbursement for shirts,985.0899999999999
postcard printing and mailing,978.3
food for golf scramble,971.8
advertising - website,965.0
embroidery for trump give-aways,955.51
printing & postage,951.47
campaign material design,950.0
facebook ad payment,946.86
reimbursement of legal fees,945.6
clothing,942.5
buttons & bumpers,940.8000000000002
monthly club mtg,937.19
christmas dinner,930.1
buy yard signs,927.5
food for clay shooters,920.96
internet,917.45
checks,915.3599999999999
late reporting penalty,900.0
digital sign,900.0
october rent at headquarters,900.0
office rent/3 months,900.0
drinks for golf scramble,900.0
fundraising/adm,900.0
hq rent expense,900.0
advertising opposing amendment 2,899.7
reimburse contribution made,894.61
iaff lapel pins paid from pac checking in error.,890.0
legislative functions,888.5500000000001
labor club christmas party,882.58
food for fundraiser,880.0
liability insurance,877.0
facility fees,875.0
accouunting fees,875.0
yard signs opposing proposition s -kirkwood school,871.95
electricity,870.4199999999998
band - leadership awards dinner,870.0
newsletter postage,864.24
financial tracking,862.5
web site,856.0
reimbursement - best buy for office supplies,854.55
dues & service charges,853.0
monthly club meeting,849.7
unconditional charitable gift,845.18
analysis fee,842.9
apparel & gear,838.32
inv 1622 - ivr survey,833.33
bess truman fund raiser,831.51
office assistance,830.6
late filing penalty,823.94
trump lawn signs,818.47
office material,817.93
club meeting space & food,815.71
materials,812.5
late filing fee,810.0
food for mouse races,808.41
awards - leadership dinner,803.96
february & march admin fees,800.0
purchase signs,800.0
april & may admin fee,800.0
nov dec admin fee,800.0
miscellaneous,800.0
door hanging sample ballots,790.54
trump signs,789.6
ad in st. charles county newspaper,789.0
mailer to members,778.93
accounting services & shipping,777.37
consulting service,775.0
oct.  meeting,773.14
legislative breakfast,765.0
van rental,762.68
general prolife radio ads,762.0
ad in newspaper,761.1
may legal services,760.0
digital ad,760.0
lincoln days registration,759.0
ad placements,751.5
digital advertisement,750.0
nd bookkeeping,750.0
cool touch-payment for yard signs reimbursement,750.0
merchant fees,730.75
printing application,730.65
reimburse for usps for postage,726.35
purchase of candy,723.96
watch party,719.69
elephant in the room shirts,711.0
payout ,709.0
office equipment lease,705.33
club expense - accumulated expenses-reimburseme  s,700.0
dues,700.0
compilation report,700.0
election poll,700.0
bank service fees,700.0
support ad for republican candidates,687.0
rent for lincoln day dinner,680.0
club mtng space & food,678.27
buttons from buttonmaker company,670.99
mailings,666.6
check order,664.03
apparel,664.0
meetings mileage- 1142,662.36
decals to put on yard signs,660.0
auction,659.9000000000001
food and beverages,655.74
printing signs,653.01
staffing,652.95
entertainment,650.0
thank you advertisement,650.0
credit cards fees,647.04
hospital shoe covers & supplies,641.47
ad book & tickets,640.28
tax prep,640.0
text messages,640.0
meal,635.03
acounting fees,635.0
payment for pac fedex shipping charges,631.78
news report,630.0
reimburse - grand cafe for staff training,627.0
shirts for association members,625.53
golf balls for tournament,624.0
door hangers opposing prop s -kirkwood school,614.66
po box rental,612.0
election ads,610.0
golf tournament prizes,607.25
raffle winner,600.0
march legal services,600.0
fence posts and ties,600.0
design work,600.0
tax preparation fee,600.0
mouse man,600.0
rffle winner,600.0
rep dave griffith campaign event,598.91
fodd for golf tournment,591.89
research and expenses,585.51
pac meeting expenses,585.0
dem days booth and ad,575.0
rent expenses,575.0
admin services ,574.64
reimbursement for mailing,574.36
postcard ballot guide printing,567.96
562.32,562.32
internship stipend,561.15
legislative function,560.0
caucus retreat catering,555.91
campaign t-shirts,555.0
mileage and food,552.0
senate employee holiday party,551.58
wiring fees,550.0
lunch,550.0
prize winner,550.0
design work - endorsement ads,550.0
meetings mileage- 946 miles,548.68
facility rental,547.38
biden yard signs,545.0
banking fee,545.0
catering christmas dinner,542.86
door hangers to support a candidate,542.35
intern,541.2
sign printing,540.0
computer network support,540.0
printing of souvenir booklet,539.57
website maintenance,537.91
county cost share,537.5
fair booth rental,536.25
news paper ad,530.9
fines ,530.0
reimburse for signs and security system,528.52
fun raising,525.0
retirement plaque paid from pac checking in error.,522.0
campaign supplies,515.9399999999999
food for xmas party,515.6
event beverage tab,514.8
signage printing,511.89
yard signs to exchange for donation,510.41
club mtg space & food,509.81
catering for meal,506.0
service charge,505.28999999999996
po box renewal,502.0
legal fees/pac administration,501.0
reimbursement for sams club for office supplies,500.67
texts,500.6
refund ldd tickets purchased,500.0
rent headquarters,500.0
state dues,500.0
contribution made,500.0
annual fee for filing reports and fundraising,500.0
purchase ad for candidates,500.0
nov rent for hq,500.0
year end service expense,500.0
polling ,500.0
down payment for catering for future event,500.0
apr rent for hq,500.0
support efforts,500.0
leme ensemble -event expense,500.0
donation xmas family gifts,500.0
july rent for hq,500.0
auction services,500.0
jun rent for hq,500.0
compliance & bookkeeping ,500.0
photographer fees,500.0
auction time share,500.0
aug rent for hq,500.0
computer database annual subscription,500.0
amendment 3 advertising,500.0
event sponsorship ,500.0
jan rent for hq,500.0
admin and compliance services,500.0
refund of donation,500.0
virtual door knocking data,500.0
virtual door knocking app,500.0
sep rent for hq,500.0
dec rent for hq,500.0
videography,500.0
pac report filing,500.0
may rent for hq,500.0
fair hall rental ,500.0
design,500.0
accounting and compliance services,500.0
mar rent for hq,500.0
starting cash for fundraiser ,500.0
list,500.0
adminstrative fee,500.0
2020 scholarship recipient,500.0
raffle winner at pac auction,500.0
raffle prize,500.0
feb rent for hq,500.0
podcast equipment 2 of 2,499.95
payment for campaign signs,499.31000000000006
face masks,498.0
fair booth fee,495.65
club menbership notification,494.62
credit card fees,492.02
trump campaign products,491.63
meals for st. marys hospital,491.57
cell phone replacement,490.94
election day supplies,490.2
reimbursement facebook boosting,485.39
website domain,483.39
accounting software,480.0
june credit card fee's ,478.06
reimburse for walmart for office supplies,478.06
tax preparation,477.0
flyer printing,475.95
advertisement,475.0
2020-21 business owners policy,475.0
golf,474.22
tshirt printing for fundraiser,470.98
lincoln days hotel,463.16
reimburse purchase campaign signs,463.0
bumper stickers,460.9800000000001
late fee,460.5
reimbursement: utilities and office supplies,454.33
office telephone,453.11999999999995
campaign director,450.0
campaign director & driver,450.0
donation - awards banquet,450.0
digital services,450.0
reimbursement for lawn signs,450.0
event rental,450.0
rent ,450.0
"rent expense, prorated 15 days",450.0
prizes for gplf tournment,447.65
memorial programs,444.4
charitable donation ,437.59
tablecloth cover for drive campaign,436.2
19 radio ads,435.0
poll signs,433.86
t posts and tools,432.07
meeting food and drinks,430.94
postage-sample ballots,430.64
shipping flyers,430.3
phone,429.3
print/mail sample ballots,428.27
printing services,426.54
newspaper ads,425.0
mailer postage,423.4
po box,422.0
2019 1120-pol fit irs eftps,421.0
odofest food,420.83
volunteer appreciation,420.1
web hosting,420.0
12 radio ads,420.0
campaign celebration event ,413.8
november legal services and expenses,413.04
golf tournament ,412.33
p o box,410.0
event expense,409.51
2019 tax payment,406.0
utilities at temp office,404.86
phone tree,404.86
voter data services,403.29
platform fee,403.14
screen printed t-shirts,403.0
reimb bristol seafood for staff meeting,400.87
"postcards, door hangers and pushcards for megan ma",400.3
july & august admin fee,400.0
reimbursement for 200 lawn signs,400.0
meals for christian hospital,400.0
july & aug pac admin fees,400.0
mar & apr admin fees,400.0
june and july pac admin fee,400.0
may & june admin fees,400.0
july & august pac admin fee,400.0
hospital supplies,400.0
cpa expenses,400.0
repayment for venue deposit,400.0
sept oct admin fee,400.0
june and july admin fee,400.0
purchase of large aluminum cups,400.0
feb/march admin fee,400.0
fund raiser ,400.0
august & sept pac admin fee,400.0
july/august admin fee,400.0
social media,400.0
nov/dec admin fee ,400.0
camera,399.99
refreshments,397.0
lunch payment,395.48
"radio ads for foster, stark and amendment 3",395.0
yard signs for trump,394.8
other disbursements (fundraising costs),387.06
july credit card fee's ,386.81
t-shirts ,385.29
sheridans lake catering - event expense,382.0
toner,379.34
storage for club items,378.0
re-emburse for prize for fund raiser,375.0
meeting facilities,375.0
gotv advertising,374.0
reimbursement for office supplies,373.91
room and beverage payment,372.33
po box fee,370.0
event insurance,369.0
bank charges 3/17 to 2/20,368.0
meeting rental,367.93
reimburse for office depot for office suppli,365.17
cover auction expenses,365.04
3 radio ads,365.0
accountant ,365.0
legal expenses,365.0
prepare 1120 pol,365.0
mailing for soup supper,364.95
phone tree bill,362.57
add in paper,361.98
ads for lincoln day event,360.88
auditing fees,360.19
rent - parking spots,360.0
website expenses,359.76
post card,357.69
reimburse for caseys for fuel,357.51
reimbursement for contribution,355.0
refreshments for poll workers,354.75
reimbursement cooking supplies and decoration ,354.1
reimbursement: printing and software,350.89
radio taping,350.0
design for billboard,350.0
video calling,350.0
account bookkeeping,350.0
wild apricot soft ware support,350.0
campaign event,348.36
printer toner,345.26
advertising for fundraiser,341.25
transportation reimbursement for rental car,340.76
food,340.59000000000003
food and mileage,340.4
lincoln day dinner ads,340.0
website hosting,336.0
face masks production,335.0
letter heads,333.45
membership picnic food,332.93
speaker travel,332.81
reimbursement for website support,332.17
credit card service fee ,331.06
state party dues,330.0
fundraiser - meal,329.81
printed brochures,328.65
printing brochures,328.5
state income taxes,327.0
printing advertising,326.4
"5,000 handbills",325.0
state unemployment tax,324.8
yardsignwholesale.com-reimburse for signs,324.0
yard sign wholesale - reimburse for signs,324.0
