,purpose,amount
7458,television ad buy and placement,109999.13
4933,office rent-reim. exp-fieldwork,109550.0
7482,text messaging,109186.14
380,advertisement,108658.09000000001
1220,campaign mailers,104845.62999999999
4565,media placement/production,104000.0
1270,campaign media ,100000.0
6773,settlement payment ,100000.0
2438,donation - gotv funding,100000.0
4734,modeling,99750.0
2285,digital media services,98484.27
2930,fair share expenditure,94879.42000000001
3378,fundraising expense,92381.03000000001
2344,direct mail expense,92304.0
5461,polling and research,90817.0
4369,mailing expense,88043.40999999999
363,"ads, graphic design, mailings, strategy",87942.73
6072,radio ad  placement,87870.0
5060,pac compliance services,85644.0
4071,legislative management,85000.0
3604,grassroots-campaign mgmt-data-design,83662.6
4159,list acquisition,83121.80999999998
7879,voter contact,83048.99
3271,fudraising fees & reim. exp,82922.06
967,cable buy,82866.0
3004,fieldwork-strategic planning-reim exp,82686.04
415,advertising - media buy,82184.0
6588,research - internal use only,81677.29000000001
6123,radio/tv ads,81530.0
1095,campaign coordination ,81442.20999999999
2363,"direct mail, voter communication",79935.0
7460,television ad production,79460.31
1217,campaign mailer,77200.87000000002
3386,fundraising fees,75491.09
180,74420,74420.0
1029,campaign advice and expenses,73816.85
3002,fieldwork & strategic planning,73300.0
4425,marketing ad,72205.0
4553,media buy and production,71425.25
2115,database,70880.11
2348,direct mail pieces,70036.0
624,attorney fees,69858.5
4387,mailings,69076.83
5463,polling research,68950.0
2334,direct mail ,65424.99
6070,radio ad,65268.76
1865,compliance,65132.5
898,broadcast buy-media advertising,65000.0
1957,consulting services,63417.94
7456,televising advertising,62630.0
3727,"hotel convention space, food and beverage",62499.66
7141,stamps,62084.75000000001
4818,newspaper ad,61770.10999999998
6069,radio,61335.95999999999
4301,mail production,61042.6
2931,fair share expenditures,61009.55
2371,direct mailing,61007.34
4044,legal and reporting services,60816.899999999994
3569,governmental relations services,60000.0
3600,grassroots field work & campaign mgmt,60000.0
2990,field director,59354.13
854,bookkeeping and reporting services,59050.0
7078,sponsorship,58316.5
5023,organizing,57500.0
1683,charitable donation part of closing account,57300.0
4321,mailer & postage,56406.48
450,advertising expense,56297.92
6878,signature collection,54559.4
1839,communications director,54412.49
4568,media production and tv ad buy,54176.0
7463,television advertisements,53810.0
4340,mailer/postage/ads,53421.76
897,broadcast buy,53265.0
4550,media ads,52954.0
5017,opposition research,52803.50000000001
4286,mail creation and distrtibution,52619.8
3367,fundraising consulting,52326.94999999999
5460,polling - internal use only,52000.0
6872,signage,51895.439999999995
4304,mail services,51053.24
1829,communications,50852.14
422,advertising - promotional items,50670.0
1833,communications consultant,50500.0
1106,campaign direct mail pieces,50450.82
1090,campaign consulting,50350.72000000001
7885,"voter contact,voter protection, office space",50000.0
430,advertising - video shoot,50000.0
3406,fundraising services/commission,49256.0
8101,webstore,49031.3
2263,digital buy/production,49000.0
1677,charitable contribution,48258.23
5001,online services,48056.489999999976
1987,contribution ,47200.0
342,administration,46757.5
2292,digital program,46687.86
2283,digital media placement,46285.98
3394,fundraising management fees,46222.82
1687,charity,46173.229999999996
3345,fundraising ,46007.89
1196,campaign literature,45942.63999999999
2353,direct mail production and postage ,45869.65
7244,strategic planning & reim. exp,45185.66
6885,signature gathering managment,45000.0
4554,media buy tv and radio,44439.0
1296,campaign operations,44146.05
2872,facebook ads,44140.84999999999
2004,contribution processing fee,43986.380000000005
3861,internship,43863.78
2290,digital production,43400.0
7033,software,43373.85
1486,campaign work,43265.11
2358,direct mail strategy invoice 1297,42931.62
5271,phone bank,42756.25
4179,literature,42427.75
2760,event expense,42420.86000000001
5954,public opinion poll,42000.0
7880,voter contact program,41915.0
7823,video shoot and tv ads,41887.79
4929,office rent,41856.91
6881,signature collection mgmt fee,41837.0
2999,"field team housing, lit., supplies",41527.36
4735,modeling project,41500.0
4664,messaging,41336.0
6659,room rental,41277.38
5828,printing services,41149.539999999986
853,bookkeeping & reporting services,40500.0
5681,printed material,40050.00000000001
2027,coordinated campaign,40000.0
1697,charter television ad placement ,39921.0
5688,"printed materials, door to door services, consulti",39910.0
2343,direct mail drops,39750.0
4575,media shoot,39648.78
7253,subscription,39526.17
5096,palm cards,39468.41
5759,printing and mailing,39368.33
3297,fundaising services and expenses,39122.84
3374,fundraising event,38985.75000000001
2996,field staff,38929.76
6772,settlement agreement,38900.0
348,administrative services,38718.72
4210,lodging,38583.829999999994
1940,consulting ,38500.0
1868,compliance & bookkeeping,38420.5
7706,tv air time,38380.0
4744,monthly retainer,38204.05
208,accounting,37659.43999999999
818,billboard,37551.780000000006
4939,office supplies,37386.340000000004
2364,direct mail/ cable tv,37381.0
7718,txt platform,37096.32
7703,tv advertisement ,37000.0
7409,targeting and analytics consulting,36676.05
5459,polling (internal use only),36413.97
976,"cable,ott, radio, mlb ads",36187.0
1022,campaign advertisements,35906.38
7459,television ad placement ,35879.0
8059,website development,35547.74
6767,services,35500.0
1067,campaign canvasers,35500.0
6117,radio production,34905.0
835,billboards,34845.979999999996
4383,mailing services,34609.659999999996
4600,meeting meal functions,34514.34
4303,mail service,34389.46000000001
7740,utilities,34336.51
3825,insurance,34168.1
3299,fundraiser,33970.34
5710,printing ,33679.82999999999
2656,email acquisition and digital media,33672.0
8032,website,33551.659999999996
5261,personnel,33340.04
6989,social media,33119.159999999996
4826,newspaper ads,33059.42
1237,campaign management and voter contact program,33053.0
1681,charitable donation,32625.839999999997
3373,fundraising director,32569.35000000001
612,april salaries and benefits,32420.260000000002
1406,campaign staffing and benefits,32169.08
2274,digital marketing,32136.240000000005
7881,"voter contact program, fundraising and field",32021.0
530,air time purchase,32013.0
2842,executive director,32000.0
1214,campaign mail,31922.0
5896,production,31642.32
1849,community engagement,31600.0
4043,legal and compliance advice,31485.49
5609,predictive dialer ,31470.71
7882,"voter contact program, fundraising and field ",31356.0
5937,promotional media production,31160.0
7370,t-shirts,30748.999999999996
2843,executive director salary,30610.159999999985
2250,digital advertising ,30600.0
7016,social media marketing,30463.55
1015,campaign ads,30310.870000000003
5407,political consulting,30185.09
4573,media services,30100.0
1405,campaign staffing ,30099.72
3568,governmental affairs,30000.0
3400,fundraising retainer,29962.559999999998
7267,supplies,29800.480000000007
3869,inv 1264 direct mail ,29763.14
1946,consulting & web hosting,29744.940000000002
2075,credit card processing fees,29554.980000000003
6997,social media ads,29352.44
5229,payroll taxes - federal 941,29319.250000000004
2957,federal payroll taxes,29025.190000000002
7897,voter engagement,29000.0
5870,printing/postage/mail processing,28992.1
4382,mailing service,28955.73
1604,catering,28695.8
1023,campaign advertising,28658.33
3350,fundraising & reim. exp,28521.74
1243,campaign manager,28299.730000000003
1028,campaign advice,28254.0
3558,gotv,28185.0
369,adverstising,28165.0
6610,retainer/commission/reim. exp,28057.0
5188,payment for pac communications,28000.0
1801,coalition building,27860.0
1403,campaign staffer,27768.749999999993
2262,digital buy,27716.0
5554,postage/printing/reim. exp,27301.0
7015,social media management,27206.129999999997
6794,shirts,27141.670000000002
1872,compliance and backoffice,27078.039999999997
1283,campaign mgmt/media/fundraising,27000.0
7715,tv/radio,26827.7
1253,campaign material,26822.110000000008
6975,sms,26773.42
1133,campaign expense,26735.65
6893,signs & shipping,26711.52
975,"cable tv, ott, radio ads",26480.0
5302,phones,26413.79
5916,promo materials,26266.3
4316,mailer ,26254.23
2252,digital advertising & placement,26000.0
408,advertising - digital,25971.04
5574,postcards,25835.409999999996
2517,door hangers,25622.490000000013
7822,video shoot,25600.0
5863,printing/mailing,25597.54
757,banquet hall - leadership awards dinner,25570.37
3580,graphic design,25550.599999999995
1996,contribution for 6/23/20 special election,25500.0
1997,contribution for 8/4/20 primary election,25500.0
1999,contribution for primary election,25500.0
1998,contribution for general election,25500.0
7496,texting subscription software,25460.72
1431,campaign supplies,25073.44
2997,field subscription,25000.0
7713,tv production,24998.5
5929,promotional items,24868.15
6888,signs ,24586.16
2237,digital ad buy,24500.0
5223,payroll tax - federal 941,24488.84
2366,direct mailer,24429.09
5364,pledge package,24340.9
7604,travel,24340.07999999999
1983,contract services,24248.14
1513,campaingn mgt/grassroots recruit & organize,24000.0
7677,trump signs,23898.67
3352,fundraising & reimbursed exp,23854.27
4326,mailer package,23488.44
744,banners,23440.579999999994
7000,social media advertising,23282.75
1422,campaign strategy planning and retainer,23270.670000000002
5073,pac software,23205.0
2112,data services,23165.4
4834,newspaper advertisement,22973.43
611,april retainer,22750.0
4480,may retainer,22750.0
343,administrative fee,22650.0
6110,radio buy,22542.75
310,ad production,22260.0
1960,"consulting, mailing",22250.73
1961,"consulting, mailing, signs",22250.73
6115,radio placement,22052.0
4404,managment ,22000.0
7484,text messsaging,21961.620000000003
5429,political signs,21849.43
7495,texting services,21788.940000000002
2690,employer taxes,21482.53
7613,travel expense,21388.77
345,administrative fee and office expenses,21386.57
1489,campaign worker compensation,21363.059999999998
551,amplify platform/services,21000.0
7996,web services,20876.42
2998,field team housing,20855.07
4911,office expenses,20763.760000000002
1341,campaign radio ads ,20720.0
5956,public relations,20640.0
3387,fundraising fees/reim. exp,20620.42
2831,event tickets,20614.460000000003
7320,survey ,20525.0
1246,campaign managment and voter contact,20502.5
7912,voter outreach,20399.380000000005
2336,direct mail & social media,20386.99
1844,communications retainer,20299.5
338,admin fee,20297.09
5713,printing & mail,20051.93
1954,consulting printing social media,20016.85
1947,consulting - digital media,20000.0
3455,general consulting,20000.0
83,2020 mayors business council dues,20000.0
6755,september retainer,20000.0
7236,strategic advising/planning,20000.0
7246,strategic planning/advising,20000.0
3044,financial reporting expense,19750.0
3871,"inv 1340 display ads montovani, webb, glantz",19632.0
1828,communication services,19526.35
653,august retainer,19500.0
966,cable ads,19399.0
266,ad buy,19329.85
4984,online contribution processing fees,19244.929999999997
3349,fundraising & reim exp,19232.4
7756,van access,19199.6
5424,political postcards,19030.26
5278,phone banking,18979.9
1968,consulting/campaign materials,18862.18
2066,creative services,18816.9
5686,printed materials,18719.61
6097,radio advertisements,18678.26
631,auction items,18592.419999999995
5447,poll worker,18589.5
3296,fundaising services,18577.95
4063,legal work,18561.0
4836,newspaper advertising,18556.15
86,2020 pac golf tournament ,18484.53
3094,flyers,18379.219999999998
4053,"legal fees, compliance, and reporting ",18235.0
6607,retainer,18217.0
5228,payroll taxes & fees,18214.5
381,advertisement ,18159.129999999997
2479,donation to charity,18000.0
4628,member mobilization,17963.66
1834,communications consultant & reim. exp,17884.47
3532,golf tournament fees,17863.8
184,75% mgt services/25% fundraising,17810.0
8054,website design,17772.83
3948,june retainer,17750.0
1835,communications consultant/reim exp,17650.6
4345,mailers (3 & 4),17644.58
1271,campaign media and production ,17500.0
233,accounting services,17416.92
5801,printing mailers,17315.18
6896,signs (was returned on 6/5),17239.35
1375,campaign signs ,17205.25
3929,july retainer,17121.260000000002
1348,campaign services,17012.83
5758,printing and mail services,16769.73
4333,mailer printing/postage and fundraiser rental,16741.0
5975,purchase air time ,16690.0
5013,operations,16682.309999999998
5063,pac gifts,16563.17
4164,lit cards,16500.0
7856,volunteer coordination ,16458.32
5316,photography,16165.51
4163,lit,16092.160000000002
6205,reim. exp - see form cd-8,16052.090000000002
3042,financial manager,16000.0
489,"advertising, polling and research",16000.0
3870,inv 1271 polling survey for future races,16000.0
2688,employer payroll taxes - federal 941,15996.789999999999
6028,purchase stamps,15925.31
823,billboard advertising,15916.7
4318,mailer #2,15800.96
1556,canvassing,15685.83
5608,predictive dialer,15656.96
7845,virtual production services,15500.0
2687,employer payroll taxes,15458.359999999999
1937,consultant - printing cost reimbursement,15400.0
3801,independent expenditure - postcards & postage,15329.21
5930,promotional items & digital media,15236.18
1558,canvassing activities,15235.0
1871,compliance and admin services,15220.0
5506,postage ,15202.220000000001
2224,dialer,15140.92
1033,campaign advice/research/postage/expenses,15137.71
4897,october retainer,15007.64
7922,voter turnout program,15000.0
7725,unilateral delivered donation reversal ,15000.0
2280,digital media advertising,15000.0
1971,consulting/managment ,15000.0
613,april/may/june/july fundraising services,15000.0
6497,rent - headquarters,15000.0
5394,"policy research, election day coordination",15000.0
2149,december retainer,15000.0
1351,campaign shirts,14920.849999999999
1574,car rental,14528.790000000003
6897,signs and ads,14528.02
5638,print advertising,14459.05
5286,phone outreach,14307.35
4619,meeting with donors/supporters,14250.32
7010,social media consulting,14250.0
1032,campaign advice/domain name reg./website consultin,14233.56
1928,constituent farewell letter,14226.75
3609,"greens fees, f&b for agcmo pac golf",14225.84
4544,media & advertising,14126.35
1498,campaign yard signs,14124.420000000002
5712,printing & ads,14052.51
1118,campaign employee wages,14031.619999999999
7827,video/radio production,14000.0
4684,mileage,13983.259999999998
4908,office equipment,13954.619999999999
3272,fuel,13927.740000000003
7182,state organizing director,13846.200000000003
5720,printing & reproduction,13747.619999999999
4325,mailer expense,13747.1
3347,fundraising & exp reimb-see addendum,13739.66
2845,expense reimbursement,13588.11
7883,"voter contact program, fundraising, and field",13530.0
4539,mec compliance and bookkeeping,13500.0
3602,grassroots organizing-mgmt,13500.0
6478,reimbursement: texting service subscription,13495.47
1031,"campaign advice, stategy and facilitation",13442.0
3385,fundraising fee,13399.599999999999
4674,mialing,13373.42
488,"advertising, gas, food",13325.9
2335,direct mail & digital advertising,13288.06
2884,facebook and email management,13200.0
1442,campaign t-shirts,13189.99
1150,campaign flyers,13171.810000000001
2968,fees,13101.860000000004
1281,campaign messaging,13060.6
3404,fundraising services ,13000.0
5959,public relations consutting,13000.0
3526,golf tournament,12993.810000000001
2678,emailer,12900.82
7793,video,12880.0
1229,campaign management ,12850.0
6096,radio advertisement,12830.48
1853,community outreach,12788.599999999999
4700,mileage reimbursement,12746.8
5660,print services,12731.650000000001
4322,mailer and postage,12572.419999999998
5439,poll,12550.0
6208,reim. expenses - see form cd-8,12536.210000000001
5353,planning/strategic advice/message content,12500.0
8122,win bonus,12500.0
3749,hotel rooms and event space,12345.94
4344,mailers (1 & 2),12309.6
2472,donation processing,12230.45
2882,facebook advertising,12216.98
4362,mailing and ads,12135.77
7608,travel - housing for communications director,12085.14
2096,data,12082.34
4330,mailer printing,12052.670000000002
515,advertisment,12004.689999999999
341,administative fee and office expenses,12000.0
7243,strategic planning & campaign mgmt,12000.0
7817,video production/shoot,12000.0
6487,remaining primary consulting retainer,12000.0
3915,jessica lambrecht campaign management,12000.0
5652,print mailers,11976.0
2668,email management,11914.17
5991,purchase merchandise,11905.91
4294,mail piece,11783.0
3599,grassroots expense,11750.0
3797,indep expend - direct mail and design,11731.5
339,admin services,11728.0
1178,campaign items,11707.209999999997
4666,messaging service,11700.0
5010,operational retainer,11700.0
5711,printing  ,11650.68
4317,mailer #1,11600.01
6201,reim exp - see form cd-8,11579.68
4351,mailers x 2,11536.0
2309,dinner,11528.350000000002
2993,field organizer,11500.0
5289,phone service,11497.9
3930,july salaries and benefits,11493.0
1089,campaign consultant,11397.5
6647,robocall,11326.11
7131,staff-administrative services,11271.55
4168,lit drop printing,11253.87
8164,yard sign production,11220.91
5567,postcard mailing,11216.119999999999
2014,contributition processing fees q4,11201.44
4122,lincoln day banquet meals,11168.08
709,bank fees,11110.880000000003
2380,display ads,11110.0
4637,membership dues,11106.0
6468,reimbursement-billboards-odegard outdoor,11090.0
7773,vehicle rental,11079.79
2359,direct mail strategy invoice 1298,11041.94
2341,direct mail campaign,11015.220000000001
7466,television production,11000.0
2823,event sponsorship,10967.3
4288,mail expense,10956.0
7045,split,10913.98
3456,general consulting & fundraising,10908.310000000001
3143,food expense,10884.51
4009,large signs,10850.94
3501,golf course fee,10847.3
5536,postage mailing service,10828.199999999997
2354,direct mail program design,10800.0
6594,research services,10800.0
625,attorney's fees,10775.0
4342,mailers ,10709.630000000001
1837,communications consulting,10650.0
2533,doorhangers,10588.1
4305,mail work,10558.2
5809,printing of christmas cards,10538.88
5901,professional fee,10500.0
3032,finance consulting/director,10500.0
3038,finance director/consultant,10500.0
6077,radio ad production for yinka faleti,10497.5
3505,golf event fundraiser,10494.51
5419,political merchandise,10452.86
1009,campaign ad,10424.990000000002
5082,paid phones,10410.04
245,act blue fees,10389.279999999995
851,bookkeeping,10345.0
1825,communication,10305.96
1701,check mistakenly placed into wrong account,10300.0
1841,communications director/consultant,10276.97
2995,field software,10269.74
6048,push cards,10256.2
5441,poll and printing,10255.0
7984,web hosting and email management,10250.0
1304,campaign phone,10244.379999999997
2008,contribution refund,10202.229999999992
5066,pac management,10200.0
6356,reimbursed expenses (see addendum for details),10127.199999999999
2273,digital mail,10112.0
6771,settlement,10039.0
2370,"direct mailers - design, creation, and mailing",10038.93
4895,october expenses,10009.29
5934,promotional materials,10001.16
7707,tv airtime placement,10000.0
1418,campaign strategy and field management,10000.0
6595,research subscription service,10000.0
7714,tv time,10000.0
1979,contirbution made,10000.0
3867,inv 014341 4 ks hd polls,10000.0
2992,field management,10000.0
183,75% mgt services & 25% fundraising,10000.0
6632,reversed contribution ,10000.0
7235,strategic advising & planning,10000.0
1221,campaign mailers and social media advertising,9987.15
3723,hotel,9968.269999999999
521,advertsing - radio,9905.0
7701,tv adv,9810.0
466,advertising mailers,9783.25
5198,payout,9717.0
5654,print materials,9685.45
5672,printed campaign materials,9638.46
1279,campaign merchandise,9610.929999999998
4354,mailers/signs,9594.01
3800,independent contractor expense,9485.0
2072,credit card payment,9478.95
420,advertising - print,9473.97
4419,march salaries: kat and alex,9434.26
6826,sign expense,9401.73
8228,"zimmer radio group, kmmo, kwwr advertising, google",9393.0
7334,t shirts,9367.42
3798,independent consultant,9338.0
6717,security,9327.19
5578,postcards and postage,9291.89
307,ad placement,9269.75
2221,development and production of mailer,9247.32
1816,commission,9232.72
1836,communications consultant/reim. exp,9200.79
5872,printing/postcards,9169.68
7423,tax withholdings,9159.09
7222,storage,9119.199999999999
2106,data entry,9100.5
1491,campaign worker- voter contact,9082.5
4046,legal compliance ,9049.9
189,8000 trump signs,9035.69
7691,tshirts,9028.31
5714,printing & mailing,9017.45
5903,professional retainer,9000.0
1233,campaign management and digital advertising ,9000.0
7310,support candidate,9000.0
5007,operational & backoffice support,9000.0
1958,consulting to develop a media strategy,9000.0
7245,strategic planning-advising-communications,9000.0
423,advertising - radio,8980.0
5272,phone bank - in kind change stl,8980.0
4931,office rent & reim. exp,8952.91
4660,merchant fees,8939.680000000002
6111,radio campaign ads,8894.869999999999
4161,list purchase,8823.0
5633,print ad,8805.5
5277,phone bank reimbursement wages,8800.0
6977,sms- july,8791.74
6357,reimbursed expenses (see details in addendum),8785.72
6591,research book & report,8750.0
2342,direct mail drop,8748.0
7427,taxes due,8725.0
7129,staff time,8705.37
7014,social media expense,8705.05
2988,field & community outreach,8700.0
111,3 mailers,8696.16
1831,communications & reim. exp,8631.15
3164,food for fundraiser,8621.26
5273,phone bank and dialer,8616.0
3916,jessica lambrecht campaign work,8600.0
2234,digital,8573.16
2113,data solutions,8570.57
2047,cost to display billboards,8564.7
4060,legal services for committee termination,8557.0
3031,finance consulting,8500.0
1535,candidate research,8500.0
3529,golf tournament course,8442.99
1346,campaign research,8379.0
4306,"mail, phones, digital",8372.0
3415,"fundraising, field management, and voter contact",8345.96
5575,postcards & postage,8337.96
5262,personnel cost,8305.04
1827,communication manager,8300.0
2233,digetal campaign,8246.0
1970,consulting/fundraising fee,8227.02
1842,communications director/consulting,8149.98
5569,postcard printing,8140.550000000001
5955,public opinion polling inv 0848,8100.0
5414,political mailing,8097.41
7455,televising & communication,8063.63
6585,research & reim. expenses,8052.74
7857,volunteer coordinator,8000.0
3868,inv 0460 survey research kansas,8000.0
1094,campaign coordination,7994.0
4353,mailers/postage,7982.28
1876,compliance and targetting,7917.02
7890,voter data research,7900.0
2821,event sponsor,7872.5
3502,golf event,7853.9
4427,marketing and advertising,7850.66
270,ad creation,7830.0
5860,printing/mail,7821.900000000001
4363,mailing and postage,7801.230000000001
2278,digital media ,7793.0
2781,event management services,7733.11
4399,management,7700.0
5232,payroll taxes - mo 941,7691.0
4632,membership,7633.67
4661,merchant fees and compliance,7614.39
5748,printing / mailing,7597.81
5058,pac apparel,7519.0
5971,pullovers,7519.0
4584,meeting,7514.759999999998
428,advertising - social media/internet,7500.0
7749,utility deposit,7500.0
2349,direct mail pieces - designed printed and mailed,7441.3
2750,event catering,7438.78
2256,digital banners,7425.0
204,account management,7392.68
4810,newsletter,7386.38
1609,catering banquet,7341.1
5012,"operational, strategic retainer ",7300.0
5282,phone calls,7282.25
4297,mail piece and news paper ad design,7280.0
5763,printing and mailing postcards,7277.81
2108,data management,7272.610000000001
2765,event fee,7266.5599999999995
334,"address, tab & mail",7260.0
7755,van,7250.0
2268,digital consulting,7219.639999999999
6683,samcc golf tournament ,7202.94
1329,campaign printing ,7129.14
1944,consulting & exp. reimb. see addendum,7078.7
6676,salary reimbursement,7076.75
4519,meals for legislators,7045.789999999999
3116,food,7030.35
1030,"campaign advice, stategy and direction",7018.17
1275,"campaign meeting, meal and caucus lodging",7017.96
134,"4036.88 staffing, 400 fb advertising, expenses",7005.06
3364,fundraising commission,7000.0
3030,finance consultant ,7000.0
3357,fundraising and contribution compliance services,7000.0
5016,opposition background research,7000.0
2243,digital ads ,7000.0
4755,moving & expenses stipend,7000.0
5610,predictive dialer software,7000.0
7585,training,6999.0199999999995
529,aggregate quarter payment - materials,6980.63
597,apparel,6977.95
1401,campaign software,6970.0
1218,campaign mailer adv,6958.0
5780,printing expense,6955.96
6074,radio ad buys,6933.45
5884,processing fee,6897.7300000000005
8202,"yard signs, shirts, print material",6897.23
5752,printing and copying,6891.82
4370,mailing fee,6866.56
8154,yard and banner signs,6816.12
5921,promotional - signs,6781.349999999999
7792,victory party,6773.74
7884,"voter contact program, fundraising, and field ",6772.0
6024,purchase signs,6753.959999999999
1962,consulting--exp. reimb. see addendum,6749.4
694,ballot initiative,6745.67
3121,food & drink,6724.920000000002
3462,"general strategy $2,500; fundraising $4,197.77",6697.77
5761,printing and mailing expense,6693.27
3390,fundraising item ,6684.1
1633,caucus meal,6673.5199999999995
2125,database services,6665.4
4440,marketing services,6614.13
2117,database access,6611.19
855,bookkeeping services,6600.0
532,airfare,6572.18
2632,election signs,6556.1
2345,direct mail for burnett ,6553.02
3353,fundraising & voter contact program,6535.0
2814,event space & food,6516.0
5904,professional services,6505.25
3317,fundraiser expense,6463.6900000000005
3949,june retainer & media,6442.61
4397,malings,6438.64
4051,legal fee,6438.5
3660,hats,6396.310000000001
5484,post cards,6382.079999999999
5760,printing and mailing and signage,6379.65
6855,sign purchase,6364.050000000001
6894,signs & shirts,6340.73
3358,fundraising and field management,6335.0
1010,campaign ad ,6325.07
1967,consulting/advertising,6315.0
1972,consulting/marketing,6301.75
1969,consulting/fundraising,6300.0
5715,printing & mailing gop card,6294.86
4613,meeting supplies,6285.660000000001
2338,direct mail advertising,6267.45
999,campaign,6265.17
3872,inv 1435 direct mail,6259.7
2281,digital media and marketing,6258.67
4994,online google ads,6250.0
4567,media production ,6238.97
3506,golf fees,6226.12
1265,campaign meal,6208.48
1372,campaign signage,6198.67
6914,signs and stands,6192.3099999999995
6037,purchase yard signs,6155.0
5222,payroll tax,6121.080000000001
6608,retainer & reim. exp,6092.33
3959,kick off event,6083.54
6207,reim. expense - facebook,6072.0
5787,printing for mailer,6056.0
2063,creative + adv,6009.0
5957,public relations consulting,6000.0
1867,compliance & bookeeping,6000.0
1955,consulting retainer,6000.0
1038,campaign and fundraising,6000.0
7583,trade association membership dues - national assoc,6000.0
250,actblue fees,5988.260000000001
2809,event services,5979.01
1123,campaign event,5967.75
1364,campaign sign order,5892.93
5952,psa calls/texts for safe voting practices,5882.26
4140,lincoln days,5862.71
1500,"campaign, strategy, planning, and retainer",5838.54
5653,print material,5830.719999999999
1240,campaign management services,5828.7
8060,website development and fundraising,5826.52
2232,difrect mail,5810.0
1037,"campaign and field management, fundraising",5785.0
2735,event,5783.71
5137,parade candy,5778.079999999999
1821,committee office,5760.0
6940,"signs, mail",5736.23
6075,radio ad production,5730.0
3838,intern stipend,5722.5
6183,refund of pac contribution,5719.88
3561,gotv calls,5718.75
470,advertising media,5709.99
1942,consulting & exp reimb.-see addendum,5693.45
5214,payroll processing,5688.8
5782,printing flyers,5685.32
5623,pringing 2 mailers & signs,5621.34
4379,mailing of mailers,5611.2699999999995
1334,campaign promotional items,5604.5199999999995
4331,mailer printing ,5597.98
467,advertising mailers  #1039,5578.0
437,advertising 2nd mailers   #1042 ,5578.0
7556,to enhance recovery of disabled persons through eq,5575.5
1092,campaign contribution,5561.34
480,advertising signs,5544.549999999999
496,advertising-mailing,5542.44
3500,golf club rental for tournment,5536.0
7262,summer caucus supplies,5527.91
1875,compliance and fundraising,5522.41
3285,fund raiser,5513.9400000000005
3565,gotv radio spots,5501.0
3301,"fundraiser - birds, food & guide service",5500.0
